Date,DailyCases,CumulativeCases,Deaths
20200228,1,1,0
20200229,0,1,0
20200301,2,3,0
20200302,1,4,0
20200303,3,7,0
20200304,6,13,0
20200305,2,15,0
20200306,6,21,0
20200307,6,27,0
20200308,3,30,0
20200309,16,46,0
20200310,21,67,0
20200311,26,93,0
20200312,38,131,1
20200313,48,179,1
20200314,19,198,3
20200315,12,210,3
20200316,21,231,4
20200317,43,274,6
20200318,41,315,6
20200319,49,364,9
20200320,83,447,14
20200321,66,513,20
20200322,75,588,25
20200323,138,726,29
20200324,168,894,36
20200325,188,1082,47
20200326,223,1305,59
20200327,274,1579,70
20200328,205,1784,99
20200329,197,1981,119
20200330,320,2301,149
20200331,340,2641,187
20200401,388,3029,233
20200402,351,3380,269
20200403,379,3759,327
20200404,259,4018,355
20200405,225,4243,402
20200406,404,4647,465
20200407,351,4998,514
20200408,343,5341,568
20200409,304,5645,634
20200410,329,5974,692
20200411,185,6159,743
20200412,220,6379,790
20200413,359,6738,831
20200414,346,7084,882
20200415,331,7415,924
20200416,427,7842,967
20200417,394,8236,1005
20200418,264,8500,1057
20200419,159,8659,1103
20200420,776,9435,1164
20200421,399,9834,1215
20200422,340,10174,1261
20200423,314,10488,1310
20200424,305,10793,1348
20200425,184,10977,1396
20200426,172,11149,1439
20200427,430,11579,1499
20200428,380,11959,1539
20200429,430,12389,1577
20200430,335,12724,1620
20200501,368,13092,1668
20200502,217,13309,1712
20200503,189,13498,1749
20200504,330,13828,1789
20200505,289,14117,1839
20200506,306,14423,1882
20200507,290,14713,1922
20200508,254,14967,1956
20200509,177,15144,1990
20200510,150,15294,2018
20200511,262,15556,2050
20200512,230,15786,2081
20200513,198,15984,2123
20200514,212,16196,2158
20200515,152,16348,2184
20200516,103,16451,2213
20200517,92,16543,2239
20200518,140,16683,2262
20200519,182,16865,2290
20200520,121,16986,2312
20200521,111,17097,2336
20200522,92,17189,2353
20200523,50,17239,2364
20200524,54,17293,2372
20200525,97,17390,2386
20200526,77,17467,2400
20200527,66,17533,2416
20200528,55,17588,2432
20200529,29,17617,2443
20200530,40,17657,2449
20200531,23,17680,2455
20200601,38,17718,2458
20200602,45,17763,2464
20200603,35,17798,2472
20200604,35,17833,2473
20200605,24,17857,2482
20200606,22,17879,2485
20200607,17,17896,2492
20200608,18,17914,2498
20200609,27,17941,2499
20200610,29,17970,2504
20200611,21,17991,2506
20200612,30,18021,2508
20200613,23,18044,2511
20200614,13,18057,2515
20200615,21,18078,2518
20200616,17,18095,2524
20200617,33,18128,2527
20200618,14,18142,2530
20200619,23,18165,2530
20200620,6,18171,2533
20200621,9,18180,2535
20200622,11,18191,2538
20200623,20,18211,2539
20200624,8,18219,2540
20200625,19,18238,2540
20200626,6,18244,2540
20200627,4,18248,2544
20200628,3,18251,2545
20200629,14,18265,2546
20200630,8,18273,2546
20200701,11,18284,2546
20200702,13,18297,2546
20200703,6,18303,2547
20200704,5,18308,2547
20200705,2,18310,2548
20200706,8,18318,2548
20200707,11,18329,2548
20200708,10,18339,2548
20200709,8,18347,2548
20200710,12,18359,2548
20200711,9,18368,2548
20200712,2,18370,2548
20200713,17,18387,2548
20200714,10,18397,2548
20200715,16,18413,2548
20200716,21,18434,2548
20200717,8,18442,2548
20200718,13,18455,2548
20200719,17,18472,2548
20200720,13,18485,2548
20200721,19,18504,2548
20200722,16,18520,2548
20200723,23,18543,2548
20200724,11,18554,2548
20200725,3,18557,2549
20200726,7,18564,2549
20200727,13,18577,2549
20200728,22,18599,2549
20200729,28,18627,2549
20200730,27,18654,2549
20200731,21,18675,2549
20200801,23,18698,2549
20200802,19,18717,2549
20200803,62,18779,2549
20200804,58,18837,2549
20200805,67,18904,2549
20200806,65,18969,2549
20200807,46,19015,2549
20200808,27,19042,2549
20200809,26,19068,2549
20200810,59,19127,2549
20200811,63,19190,2549
20200812,49,19239,2549
20200813,59,19298,2549
20200814,50,19348,2549
20200815,20,19368,2549
20200816,33,19401,2549
20200817,75,19476,2549
20200818,78,19554,2549
20200819,93,19647,2550
20200820,141,19788,2550
20200821,91,19879,2550
20200822,51,19930,2551
20200823,67,19997,2552
20200824,59,20056,2552
20200825,72,20128,2552
20200826,98,20226,2552
20200827,97,20323,2552
20200828,105,20428,2553
20200829,94,20522,2553
20200830,102,20624,2553
20200831,144,20768,2553
20200901,199,20967,2553
20200902,192,21159,2554
20200903,202,21361,2555
20200904,170,21531,2556
20200905,137,21668,2556
20200906,154,21822,2556
20200907,167,21989,2556
20200908,103,22092,2556
20200909,223,22315,2556
20200910,231,22546,2556
20200911,216,22762,2556
20200912,214,22976,2556
20200913,178,23154,2557
20200914,186,23340,2560
20200915,238,23578,2560
20200916,280,23858,2560
20200917,265,24123,2561
20200918,270,24393,2563
20200919,236,24629,2563
20200920,320,24949,2566
20200921,454,25403,2568
20200922,497,25900,2570
20200923,572,26472,2571
20200924,716,27188,2573
20200925,577,27765,2574
20200926,437,28202,2576
20200927,360,28562,2578
20200928,624,29186,2581
20200929,661,29847,2582
20200930,793,30640,2586
20201001,777,31417,2591
20201002,818,32235,2592
20201003,702,32937,2595
20201004,745,33682,2598
20201005,1099,34781,2600
20201006,1193,35974,2604
20201007,1252,37226,2613
20201008,1171,38397,2624
20201009,1095,39492,2630
20201010,945,40437,2640
20201011,961,41398,2650
20201012,1363,42761,2658
20201013,1424,44185,2669
20201014,1294,45479,2675
20201015,1294,46773,2691
20201016,1253,48026,2710
20201017,863,48889,2720
20201018,829,49718,2741
20201019,1360,51078,2756
20201020,1686,52764,2773
20201021,1581,54345,2784
20201022,1503,55848,2801
20201023,1287,57135,2818
20201024,959,58094,2838
20201025,941,59035,2860
20201026,1346,60381,2890
20201027,1312,61693,2906
20201028,1269,62962,2934
20201029,1100,64062,2961
20201030,1105,65167,2996
20201031,745,65912,3021
20201101,974,66886,3055
20201102,1479,68365,3083
20201103,1396,69761,3117
20201104,1304,71065,3136
20201105,1299,72364,3176
20201106,1144,73508,3202
20201107,849,74357,3239
20201108,878,75235,3274
20201109,1296,76531,3314
20201110,1292,77823,3348
20201111,1251,79074,3384
20201112,1197,80271,3416
20201113,1063,81334,3453
20201114,919,82253,3493
20201115,817,83070,3527
20201116,1279,84349,3560
20201117,1226,85575,3596
20201118,1118,86693,3620
20201119,985,87678,3646
20201120,866,88544,3675
20201121,765,89309,3708
20201122,709,90018,3744
20201123,1162,91180,3775
20201124,994,92174,3805
20201125,933,93107,3837
20201126,807,93914,3860
20201127,740,94654,3884
20201128,573,95227,3925
20201129,556,95783,3953
20201130,975,96758,3985
20201201,932,97690,4012
20201202,951,98641,4032
20201203,810,99451,4068
20201204,649,100100,4096
20201205,668,100768,4115
20201206,645,101413,4144
20201207,959,102372,4173
20201208,1047,103419,4201
20201209,1008,104427,4224
20201210,907,105334,4247
20201211,880,106214,4267
20201212,687,106901,4290
20201213,721,107622,4316
20201214,1100,108722,4347
20201215,1034,109756,4379
20201216,1051,110807,4410
20201217,912,111719,4446
20201218,930,112649,4469
20201219,757,113406,4497
20201220,824,114230,4526
20201221,1322,115552,4551
20201222,1333,116885,4579
20201223,1322,118207,4613
20201224,1022,119229,4649
20201225,520,119749,4684
20201226,1058,120807,4718
20201227,1705,122512,4752
20201228,1825,124337,4782
20201229,3146,127483,4808
20201230,2973,130456,4840
20201231,2379,132835,4884
20210101,1167,134002,4919
20210102,2218,136220,4961
20210103,2223,138443,5003
20210104,2385,140828,5040
20210105,3058,143886,5080
20210106,2554,146440,5128
20210107,2202,148642,5172
20210108,1839,150481,5214
20210109,1498,151979,5252
20210110,1430,153409,5311
20210111,2101,155510,5359
20210112,1984,157494,5410
20210113,1710,159204,5461
20210114,1624,160828,5518
20210115,1553,162381,5576
20210116,1176,163557,5652
20210117,1198,164755,5695
20210118,1737,166492,5758
20210119,1557,168049,5828
20210120,1587,169636,5894
20210121,1242,170878,5951
20210122,1243,172121,6018
20210123,937,173058,6071
20210124,862,173920,6141
20210125,1322,175242,6193
20210126,1175,176417,6245
20210127,1113,177530,6305
20210128,1120,178650,6352
20210129,965,179615,6410
20210130,785,180400,6454
20210131,814,181214,6501
20210201,1100,182314,6544
20210202,1050,183364,6586
20210203,928,184292,6634
20210204,901,185193,6666
20210205,938,186131,6710
20210206,716,186847,6761
20210207,657,187504,6803
20210208,993,188497,6844
20210209,757,189254,6892
20210210,843,190097,6929
20210211,846,190943,6964
20210212,901,191844,7005
20210213,540,192384,7037
20210214,682,193066,7070
20210215,965,194031,7104
20210216,907,194938,7129
20210217,828,195766,7157
20210218,878,196644,7191
20210219,891,197535,7235
20210220,659,198194,7262
20210221,611,198805,7282
20210222,790,199595,7304
20210223,698,200293,7320
20210224,700,200993,7337
20210225,629,201622,7357
20210226,521,202143,7373
20210227,413,202556,7391
20210228,425,202981,7400
20210301,546,203527,7420
20210302,519,204046,7433
20210303,495,204541,7444
20210304,558,205099,7458
20210305,464,205563,7466
20210306,477,206040,7476
20210307,434,206474,7486
20210308,588,207062,7501
20210309,654,207716,7511
20210310,624,208340,7516
20210311,663,209003,7523
20210312,585,209588,7529
20210313,463,210051,7533
20210314,445,210496,7540
20210315,689,211185,7541
20210316,572,211757,7552
20210317,599,212356,7560
20210318,552,212908,7563
20210319,544,213452,7569
20210320,456,213908,7574
20210321,464,214372,7578
20210322,682,215054,7581
20210323,605,215659,7584
20210324,540,216199,7588
20210325,571,216770,7595
20210326,477,217247,7600
20210327,388,217635,7605
20210328,357,217992,7610
20210329,516,218508,7615
20210330,395,218903,7617
20210331,392,219295,7619
20210401,414,219709,7620
20210402,349,220058,7622
20210403,278,220336,7624
20210404,253,220589,7625
20210405,293,220882,7629
20210406,356,221238,7631
20210407,280,221518,7633
20210408,282,221800,7635
20210409,266,222066,7637
20210410,227,222293,7640
20210411,209,222502,7642
20210412,255,222757,7642
20210413,261,223018,7642
20210414,211,223229,7645
20210415,198,223427,7647
20210416,222,223649,7648
20210417,203,223852,7649
20210418,172,224024,7649
20210419,261,224285,7650
20210420,241,224526,7651
20210421,235,224761,7654
20210422,230,224991,7654
20210423,187,225178,7656
20210424,146,225324,7656
20210425,110,225434,7658
20210426,194,225628,7659
20210427,196,225824,7660
20210428,194,226018,7661
20210429,174,226192,7661
20210430,173,226365,7661
20210501,127,226492,7661
20210502,120,226612,7662
20210503,162,226774,7662
20210504,198,226972,7662
20210505,221,227193,7662
20210506,218,227411,7662
20210507,200,227611,7662
20210508,184,227795,7662
20210509,210,228005,7662
20210510,326,228331,7662
20210511,285,228616,7662
20210512,297,228913,7664
20210513,312,229225,7664
20210514,291,229516,7664
20210515,229,229745,7664
20210516,230,229975,7664
20210517,361,230336,7665
20210518,416,230752,7665
20210519,412,231164,7665
20210520,383,231547,7665
20210521,362,231909,7665
20210522,296,232205,7666
20210523,324,232529,7667
20210524,494,233023,7667
20210525,502,233525,7667
20210526,627,234152,7669
20210527,554,234706,7670
20210528,550,235256,7671
20210529,439,235695,7673
20210530,492,236187,7674
20210531,624,236811,7674
20210601,794,237605,7674
20210602,972,238577,7675
20210603,958,239535,7677
20210604,829,240364,7678
20210605,610,240974,7678
20210606,682,241656,7679
20210607,953,242609,7680
20210608,1032,243641,7680
20210609,1059,244700,7681
20210610,1050,245750,7683
20210611,870,246620,7683
20210612,708,247328,7683
20210613,858,248186,7686
20210614,1139,249325,7687
20210615,1289,250614,7690
20210616,1274,251888,7691
20210617,1148,253036,7692
20210618,1117,254153,7692
20210619,171,254324,7692
